,ALSTM,CATBOOST,GRU,DoubleEnsemble,LSTM,Linear,LightGBM,MLP,TCN,transformer,Localformer,Informer,Autoformer,PatchTST,TiDE,TiDGE,DLinear,iTransformer
ALSTM,1.0,0.5795116075940554,0.7677994574955422,0.5494991687161274,0.7962259384863828,0.5183590075326281,0.5556120460352987,0.5530151568411983,0.7147118156164566,0.6588185474413932,0.6275983908594434,0.0387190324119976,0.35299701542445205,0.012738234960401431,-0.29995121133379227,0.31743607597721046,0.358067818177509,0.28465942699904945
CATBOOST,0.5795116075940554,1.0,0.4899930595499809,0.9381750496409791,0.6625512871645026,0.7793303208720549,0.9413117252101018,0.661480141479946,0.6822880626599999,0.7035528149752405,0.6989536264040183,0.029383148754337052,0.3037487275474383,-0.017678135139555077,-0.5393954498558083,0.46036710555732446,0.3411743843582054,0.32364016688928954
GRU,0.7677994574955422,0.4899930595499809,1.0,0.4336361175614362,0.7558684640615998,0.4309577647385018,0.44812893065161924,0.5772647500972866,0.6802626726385554,0.6067960330461569,0.5721326252742237,0.03877500447897249,0.3432483054390404,0.03363940167400926,-0.20642855326732729,0.2642642374029329,0.3491032313063224,0.31730715587003483
DoubleEnsemble,0.5494991687161274,0.9381750496409791,0.4336361175614362,1.0,0.6503197432296273,0.8011432593341877,0.975513561404735,0.586265033182467,0.6452934004394075,0.6631325268731522,0.6490448756946238,0.021436350038611697,0.27708776547168407,-0.03278220586722757,-0.5908985889687672,0.48160240257755915,0.31073745901231226,0.27834830838088626
LSTM,0.7962259384863828,0.6625512871645026,0.7558684640615998,0.6503197432296273,1.0,0.6067944527715975,0.6497443207986369,0.5809461655516586,0.7440955233360202,0.7044231185561289,0.6662690324175988,0.03494456786478206,0.35228803138316844,0.006301593157494842,-0.3695528575609425,0.3597412685837388,0.3282467565069844,0.2971688729500544
Linear,0.5183590075326281,0.7793303208720549,0.4309577647385018,0.8011432593341877,0.6067944527715975,1.0,0.7967816462026797,0.6068090766938694,0.6074964437663077,0.6558076644959315,0.6398928788929893,0.024653972566055917,0.3396363438830165,0.0015128743575651496,-0.5335917865606926,0.45697536378583464,0.4304354551509004,0.3992573023637597
LightGBM,0.5556120460352987,0.9413117252101018,0.44812893065161924,0.975513561404735,0.6497443207986369,0.7967816462026797,1.0,0.609998369652213,0.6483423196861992,0.6713945844095734,0.6537546901115799,0.021852285934918114,0.2845021594470676,-0.02199000832003392,-0.5753922401534723,0.47871839293884577,0.3167247787475392,0.291568391233782
MLP,0.5530151568411983,0.661480141479946,0.5772647500972866,0.586265033182467,0.5809461655516586,0.6068090766938694,0.609998369652213,1.0,0.6413970453204663,0.6323293549124127,0.6134437991346302,0.0375384122147882,0.28153483214513947,0.05135893440421659,-0.2077050089980935,0.2749829269477043,0.3503885374912325,0.363087994502272
TCN,0.7147118156164566,0.6822880626599999,0.6802626726385554,0.6452934004394075,0.7440955233360202,0.6074964437663077,0.6483423196861992,0.6413970453204663,1.0,0.7999109540257909,0.7925201670867432,0.03965371540848203,0.36901979994859213,0.015692053025033573,-0.30712550268668076,0.3305182638281727,0.3813153593958529,0.3443998103725676
transformer,0.6588185474413932,0.7035528149752405,0.6067960330461569,0.6631325268731522,0.7044231185561289,0.6558076644959315,0.6713945844095734,0.6323293549124127,0.7999109540257909,1.0,0.9116539732718778,0.05453449579650823,0.402256322274681,0.017973291376390914,-0.3168487201635278,0.32476096729551507,0.4323837777612787,0.41398359812606367
Localformer,0.6275983908594434,0.6989536264040183,0.5721326252742237,0.6490448756946238,0.6662690324175988,0.6398928788929893,0.6537546901115799,0.6134437991346302,0.7925201670867432,0.9116539732718778,1.0,0.06037863963196816,0.3645225242053649,0.015772713839401927,-0.29304020204836284,0.29766447548171426,0.4535632251530902,0.43377218753952995
Informer,0.0387190324119976,0.029383148754337052,0.03877500447897249,0.021436350038611697,0.03494456786478206,0.024653972566055917,0.021852285934918114,0.0375384122147882,0.03965371540848203,0.05453449579650823,0.06037863963196816,1.0,0.05812794096704513,-0.06856355313004753,-0.014698523059490813,0.026449434126878578,0.07997688942368604,0.0737868692320914
Autoformer,0.35299701542445205,0.3037487275474383,0.3432483054390404,0.27708776547168407,0.35228803138316844,0.3396363438830165,0.2845021594470676,0.28153483214513947,0.36901979994859213,0.402256322274681,0.3645225242053649,0.05812794096704513,1.0,0.0284829504587414,-0.2405089205120847,0.2573621391558373,0.4495934851281899,0.3760949988355827
PatchTST,0.012738234960401431,-0.017678135139555077,0.03363940167400926,-0.03278220586722757,0.006301593157494842,0.0015128743575651496,-0.02199000832003392,0.05135893440421659,0.015692053025033573,0.017973291376390914,0.015772713839401927,-0.06856355313004753,0.0284829504587414,1.0,0.09727219131576784,-0.007133252460657804,0.040423054600406426,0.05211884417301399
TiDE,-0.29995121133379227,-0.5393954498558083,-0.20642855326732729,-0.5908985889687672,-0.3695528575609425,-0.5335917865606926,-0.5753922401534723,-0.2077050089980935,-0.30712550268668076,-0.3168487201635278,-0.29304020204836284,-0.014698523059490813,-0.2405089205120847,0.09727219131576784,1.0,-0.5086302658242398,-0.22164267876812419,-0.23455368980389604
TiDGE,0.31743607597721046,0.46036710555732446,0.2642642374029329,0.48160240257755915,0.3597412685837388,0.45697536378583464,0.47871839293884577,0.2749829269477043,0.3305182638281727,0.32476096729551507,0.29766447548171426,0.026449434126878578,0.2573621391558373,-0.007133252460657804,-0.5086302658242398,1.0,0.27847004230751604,0.24480965539365013
DLinear,0.358067818177509,0.3411743843582054,0.3491032313063224,0.31073745901231226,0.3282467565069844,0.4304354551509004,0.3167247787475392,0.3503885374912325,0.3813153593958529,0.4323837777612787,0.4535632251530902,0.07997688942368604,0.4495934851281899,0.040423054600406426,-0.22164267876812419,0.27847004230751604,1.0,0.6012256775150279
iTransformer,0.28465942699904945,0.32364016688928954,0.31730715587003483,0.27834830838088626,0.2971688729500544,0.3992573023637597,0.291568391233782,0.363087994502272,0.3443998103725676,0.41398359812606367,0.43377218753952995,0.0737868692320914,0.3760949988355827,0.05211884417301399,-0.23455368980389604,0.24480965539365013,0.6012256775150279,1.0
